"Paper_ID","Title","Paper_Year","Country","State","Lat","Long","Research_Focus"
1,"Development, growth and yield of late-sown soybeans in the southern Pampas",2003,"Argentina","Pampas",-35,-62,"Late sowing effects"
2,"Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source",2015,"Indonesia","East Java",-7.64,112.9125,"Biomass variability"
3,"Characteristics of Yield and Harvest Index, and Evaluation of Balanced Nutrient Uptake of Soybean in Northeast China",2019,"China","Liaoning",41,123,"Yield components"
4,"Responses of Soybean Genotypes to Different Nitrogen and Phosphorus Sources: Impacts on Yield Components, Seed Yield, and Seed Protein",2022,"Philippines","Cambodia",12.5657,104.991,"Nutrient responses"
5,"Effect of irrigation regime on yield, harvest index and water productivity of soybean",2018,"Serbia","Vojvodina",44.8667,20.3333,"Irrigation effects"
6,"Planting time and variety effects on biomass, harvest index, and yield of irrigated soybean in mid-Southern United States",2024,"USA","Mississippi",33.4647,-90.5478,"Planting time"
7,"Effect of varieties and population of intercropped soybean with maize on yield and yield components at Haro Sabu, Western Ethiopia",2015,"Ethiopia","Haro Sabu",8.4175,34.7361,"Intercropping"
8,"Physiological Plant Response Differences among High- and Average-Yield Soybean Areas in Arkansas",2018,"USA","Arkansas",34.7465,-92.2896,"Physiological responses"
9,"Both biomass accumulation and harvest index drive the yield improvements in soybean at high and low phosphorus in south-west China",2022,"China","Guizhou",26.8154,106.8744,"Phosphorus effects"
10,"Stability of Soybean Harvest Index",1984,"USA","Florida",29.6516,-82.3246,"Harvest index stability"
11,"Soybean Biomass and Nitrogen Accumulation Rates and Radiation Use Efficiency in a Maximum Yield Environment",2014,"USA","Missouri",36.8408,-94.2556,"Radiation efficiency"
13,"Influences of different planting times on harvest index and yield determination factors in soybean",2000,"Korea","Seoul",37.5901,127.002,"Planting time"
14,"Effect of Cultivar and Planting Pattern on Yield and Apparent Harvest index in soybean",1984,"USA","Ohio",40.7984,-81.9351,"Cultivar patterns"
14,"Effect of Cultivar and Planting Pattern on Yield and Apparent Harvest index in soybean",1984,"USA","Ohio",41.1269,-83.6817,"Cultivar patterns"
14,"Effect of Cultivar and Planting Pattern on Yield and Apparent Harvest index in soybean",1984,"USA","Ohio",40.2592,-82.5523,"Cultivar patterns"
15,"Dry matter accumulation, harvest index and yield of soybean in response to planting time",2002,"Korea","Seoul",37.5901,127.002,"Planting time"
16,"Soybean Yield Response to Narrow Rows Is Largely due to Enhanced Early Growth",1998,"USA","Illinois",40,-88.2073,"Row spacing"
17,"The effects of increased temperature on crop growth and yield of soybean grown in a temperature gradient chamber",2013,"Japan","Kyoto",35,135.5,"Temperature effects"
18,"Assessment of Yield and Yield Component of Soybean Genotypes in north of Khuzestan",2018,"Iran","Khuzestan",32.0389,48.4056,"Genotype assessment"
19,"Soybean Seed Yield Performances under Different Cultural practices",2009,"Turkey","Bursa",40.2581,28.8942,"Cultural practices"
